,compound,neg,neu,pos,source,time,tweet
0,0.0,0.0,1.0,0.0,CNN,2020-05-18 17:50:06+00:00,"""The contrast of Obama's sharp critique and Trump's vigorous efforts to reshape the narrative about his admin's res… https://t.co/UfT5Tj3wGM"
1,0.3182,0.0,0.901,0.099,CNN,2020-05-18 17:40:05+00:00,Federal Reserve Chairman Jerome Powell says he is optimistic that the US economy will start to heal in the second h… https://t.co/NnUIEbQ9eG
2,-0.836,0.273,0.727,0.0,CNN,2020-05-18 17:30:08+00:00,The FBI found a link between al Qaeda and the Saudi military trainee who killed three US sailors in a terror attack… https://t.co/Yn5w4fXqkq
3,0.4215,0.0,0.872,0.128,CNN,2020-05-18 17:20:07+00:00,"A powerful cyclone that formed in the Bay of Bengal is headed directly for the India-Bangladesh border, bringing wi… https://t.co/eFJfBEO2A2"
4,-0.2023,0.083,0.917,0.0,CNN,2020-05-18 17:10:04+00:00,"The Trump admin is replacing the US attorney in Washington, DC, who oversaw the controversial moves in the late sta… https://t.co/yEZLVplOGf"
5,-0.5267,0.145,0.855,0.0,CNN,2020-05-18 17:00:03+00:00,Attorney General Barr says Obama and Biden are unlikely to be under criminal investigation in a review of the Russi… https://t.co/52Ib6WqV9P
6,0.0,0.0,1.0,0.0,CNN,2020-05-18 16:50:04+00:00,New York could face a $9.5 billion tax revenue shortfall over the next two years because of coronavirus restriction… https://t.co/PIFSfiVxhN
7,0.5267,0.0,0.861,0.139,CNN,2020-05-18 16:40:05+00:00,"New York Gov. Cuomo says he has been encouraging pro sports teams in the state to ""plan reopenings without fans."" F… https://t.co/qcpAe3gL8l"
8,-0.5574,0.184,0.816,0.0,CNN,2020-05-18 16:33:31+00:00,"Steve Linick, the State Department inspector general fired by President Trump, had nearly completed an investigatio… https://t.co/0HCFhrrkRp"
9,-0.7906,0.269,0.731,0.0,CNN,2020-05-18 16:20:07+00:00,"40 years ago today, Mount St. Helens erupted, expelling plumes of ash and killing 57 people in the most destructive… https://t.co/l5CAXkJpGY"
10,0.3612,0.0,0.884,0.116,CNN,2020-05-18 16:10:04+00:00,New research suggests that some lava-like formations on Mars are actually the product of mud that flowed like lava… https://t.co/UXjtldyB8s
11,-0.4019,0.15,0.85,0.0,CNN,2020-05-18 16:00:10+00:00,"The lack of cell phone reception at his wife's family farm in South Dakota made it hard for Walter Kinzie, who owns… https://t.co/sCv93RtDvl"
12,0.3612,0.0,0.878,0.122,CNN,2020-05-18 15:50:06+00:00,Chinese President Xi Jinping says he supports calls for an investigation into the handling of the coronavirus pande… https://t.co/kbV2nipByX
13,0.0,0.0,1.0,0.0,CNN,2020-05-18 15:40:07+00:00,US airlines are introducing temporary short-hop routes due to a requirement to keep essential air connections intac… https://t.co/xSHQwG2r5c
14,0.5574,0.0,0.816,0.184,CNN,2020-05-18 15:30:06+00:00,"Study subjects who received Moderna's Covid-19 vaccine had positive early results, according to the biotech company… https://t.co/Drhog5uuwf"
15,0.0,0.0,1.0,0.0,CNN,2020-05-18 15:20:09+00:00,"As stay-at-home orders grounded the Bay Area to a halt, Blade + Blue felt the impact immediately, as sales swung 60… https://t.co/jh9i3z4WcG"
16,-0.4404,0.153,0.847,0.0,CNN,2020-05-18 15:10:04+00:00,"""International criticism of China over the years often has come from Beijing's traditional rivals,"" @jgriffiths wri… https://t.co/pZHPMr1xfP"
17,0.1513,0.0,0.929,0.071,CNN,2020-05-18 15:00:04+00:00,The coronavirus pandemic could usher in an even more intense era of mass data collection — the vast hoovering up of… https://t.co/2iVRCPvlFS
18,0.3818,0.0,0.874,0.126,CNN,2020-05-18 14:50:06+00:00,"""At a time of widespread financial upheaval, it's time to think bigger: Since credit reporting determines access to… https://t.co/SSe54oKGB1"
19,0.1531,0.091,0.794,0.115,CNN,2020-05-18 14:48:53+00:00,"RT @NewDay: With traditional cinemas and Hollywood reeling from lost income, drive-ins appear to be offering a rare and surging bright spot…"
20,-0.4019,0.124,0.876,0.0,CNN,2020-05-18 14:40:02+00:00,"""The Covid-19 pandemic has yet again revealed the old existing problems Latinos have been facing for decades in the… https://t.co/e2qL788pu5"
21,0.0,0.0,1.0,0.0,CNN,2020-05-18 14:30:07+00:00,New surveillance video taken from a home under construction where Ahmaud Arbery entered on the day of his shooting… https://t.co/ayxUBNBobr
22,0.3182,0.0,0.892,0.108,CNN,2020-05-18 14:20:07+00:00,"Hannah Brown, the Season 15 star of ""The Bachelorette,"" has apologized for using the N-word while attempting to rap… https://t.co/anbCJlbr8y"
23,0.0,0.0,1.0,0.0,CNN,2020-05-18 14:10:07+00:00,More and more movies once destined for the big screen are going on-demand while theaters are closed due to the pand… https://t.co/kdqpa2NJn6
24,0.0,0.0,1.0,0.0,CNN,2020-05-18 14:00:49+00:00,RT @NewDay: China still faces the “big challenge” of a potential second wave of Covid-19 infections. The country’s leading medical expert D…
25,0.0,0.0,1.0,0.0,CNN,2020-05-18 14:00:01+00:00,"Need a Break? Take a Stretch. Today on “Coronavirus: Fact vs Fiction,” Jeanette Jenkins, founder of The Hollywood T… https://t.co/sFnslGVHwA"
26,-0.3182,0.103,0.897,0.0,CNN,2020-05-18 13:50:06+00:00,"""Ultimately Mr. Navarro is being critical of the President and the man who President Trump placed to lead the agenc… https://t.co/ejmLC2PeBi"
27,0.623,0.0,0.797,0.203,CNN,2020-05-18 13:40:08+00:00,"It's International Museum Day! @CNNStyle has selected some of the most fascinating, immersive concerts, museum tour… https://t.co/plYu2PUChM"
28,0.7269,0.063,0.632,0.304,CNN,2020-05-18 13:30:05+00:00,Confronting the prospect of dashed hopes and dreams deferred due to the coronavirus pandemic and what you tell your… https://t.co/9IDTsIXjQi
29,-0.6486,0.301,0.595,0.104,CNN,2020-05-18 13:20:08+00:00,"The United States is only part way through the harsh therapy needed to defeat Covid-19. If we stop now,… https://t.co/VSnCJ0Lv4g"
30,0.5499,0.0,0.849,0.151,CNN,2020-05-18 13:10:03+00:00,All but two US states have loosened restrictions in place to help curb the spread of coronavirus. Follow live updat… https://t.co/grT3n8e2HD
31,0.0,0.0,1.0,0.0,CNN,2020-05-18 13:00:08+00:00,"Republican Sen. Mitt Romney has denounced President Trump's firings of internal government oversight officials, cal… https://t.co/XnMhQx52Ep"
32,0.8834,0.0,0.608,0.392,CNN,2020-05-18 12:45:01+00:00,"NASCAR's comeback race honored health care workers as part of The Real Heroes Project, a collaborative initiative a… https://t.co/XMvuY0QALJ"
33,0.0,0.0,1.0,0.0,CNN,2020-05-18 12:30:06+00:00,"Chinese President Xi Jinping spoke at the opening ceremony of the World Health Assembly, making the case for the co… https://t.co/pVKDEBFgPe"
34,0.3612,0.0,0.894,0.106,CNN,2020-05-18 12:15:07+00:00,"We will meet again, just like the Queen said. New episodes of #TheWindsorsCNN return Sunday, June 14th at 9 p.m. ET https://t.co/fs8m6eY1Pi"
35,-0.5574,0.175,0.825,0.0,CNN,2020-05-18 12:00:07+00:00,The State Department inspector general who President Trump fired last week was investigating whether Secretary of S… https://t.co/6g31UjfrmU
36,0.0,0.0,1.0,0.0,CNN,2020-05-18 11:45:05+00:00,"Here's everything you need to know about the coronavirus pandemic today: https://t.co/FCRrBCvIEF

📩 Sign up to get… https://t.co/WTVZ2GGwDI"
37,0.0772,0.0,0.939,0.061,CNN,2020-05-18 11:31:37+00:00,Trump has removed the inspectors general with the reason that it's within his authority as President and that he la… https://t.co/pOBx0KDqJz
38,0.0,0.0,1.0,0.0,CNN,2020-05-18 11:15:05+00:00,"Around 10,000 small boats, sailed by families, couples and individuals, ply the oceans each year. But in 2020, some… https://t.co/yI42Com9cY"
39,0.0,0.0,1.0,0.0,CNN,2020-05-18 11:00:07+00:00,It's International Museum Day! Here is a running list of some of the museums that have reopened — or have announced… https://t.co/ESXO6KWWhi
40,0.0,0.0,1.0,0.0,CNN,2020-05-18 10:45:04+00:00,"The coronavirus pandemic has drastically changed kids' lives, and their behavior is showing it. There are ways for… https://t.co/ElGZ6L51ZI"
41,0.34,0.0,0.902,0.098,CNN,2020-05-18 10:34:20+00:00,"Snoop Dogg shared a video of him listening to ""Let It Go"" from Disney's ""Frozen"" as he tried to decompress amid the… https://t.co/UNbukoW6sh"
42,0.1027,0.0,0.924,0.076,CNN,2020-05-18 10:15:05+00:00,A Canadian Forces Snowbirds demonstration -- part of a weeks-long operation aimed at uplifting Canadians' spirits a… https://t.co/SwTxYaAy5o
